Temp_coefficient,Salt_coefficient,Performance,ID
0.20000000000000107,0.08,0.4772727272727273,1
0.5750000000000015,0.08,0.4375,2
0.2,0.08,0.4772727272727273,3
-0.9249999999999999,0.12,0.8522727272727273,4
0.5,0.5,0.875,5
0.5,0.5,0.875,6
0.5,0.5,0.875,7
0.5,0.5,0.875,8
0.5,0.5,0.875,9
0.5,0.5,0.875,10
0.5,0.5,0.875,11
0.5,0.5,0.875,12
0.5,0.5,0.875,13
0.5,0.5,0.875,14
0.5,0.5,0.875,15
0.5,0.5,0.875,16
0.5,0.5,0.875,17
0.5,0.5,0.875,18
0.5,0.5,0.875,19
0.5,0.5,0.875,20
0.5,0.5,0.875,21
0.5,0.5,0.875,22
0.5,0.5,0.875,23
0.5,0.5,0.875,24
0.5,0.5,0.875,25
0.5,0.5,0.875,26
0.5,0.5,0.875,27
0.5,0.5,0.875,28
0.5,0.5,0.875,29
0.5,0.5,0.875,30
0.5,0.5,0.875,31
0.5,0.5,0.875,32
0.5,0.5,0.875,33
0.5,0.5,0.875,34
0.5,0.5,0.875,35
0.5,0.5,0.875,36
